时间,发电量,光照强度,温度,time_cos,time_sin,湿度
2019/6/8 10:00,913.4313,880.48,28.28,-0.866025404,0.5,62.43
2019/6/8 11:00,953.1029,1093.69,29.39,-0.965925826,0.258819045,55.97
2019/6/8 12:00,979.7637,1003.05,29.65,-1,5.39E-15,54.47
2019/6/8 13:00,670.3738,381.05,29.68,-0.965925826,-0.258819045,53.86
2019/6/8 14:00,652.1524,455.86,30.42,-0.866025404,-0.5,49.41
2019/6/8 15:00,628.9345,690.21,31.23,-0.707106781,-0.707106781,45.18
2019/6/8 16:00,455.166,356.84,30.58,-0.5,-0.866025404,46.09
2019/6/8 17:00,222.1943,373.39,30.47,-0.258819045,-0.965925826,47.86
2019/6/8 18:00,89.1738,125.81,29.71,-3.67E-15,-1,51.51
2019/6/8 19:00,7.365,7.2,28.32,0.258819045,-0.965925826,60.34
2019/6/8 20:00,0,0,27.09,0.5,-0.866025404,66.42
2019/6/8 21:00,0,0,26.77,0.707106781,-0.707106781,66.81
2019/6/8 22:00,0,0,25.35,0.866025404,-0.5,77.58
2019/6/8 23:00,0,0,25.34,0.965925826,-0.258819045,75.64
2019/6/9 0:00,0,0,24.09,1,-1.96E-15,81.31
2019/6/9 1:00,0,0,24.01,0.965925826,0.258819045,81.58
2019/6/9 2:00,0,0,23.51,0.866025404,0.5,84.35
2019/6/9 3:00,0,0,23.22,0.707106781,0.707106781,86.01
2019/6/9 4:00,0,0,22.51,0.5,0.866025404,89.97
2019/6/9 5:00,0,0,22.49,0.258819045,0.965925826,90.02
2019/6/9 6:00,87.8862,72.27,22.7,7.35E-15,1,91.91
2019/6/9 7:00,294.8441,320.56,24.07,-0.258819045,0.965925826,87.28
2019/6/9 8:00,503.6147,550.18,25.8,-0.5,0.866025404,81.22
2019/6/9 9:00,733.6212,539.73,27.59,-0.707106781,0.707106781,74.28
2019/6/9 10:00,867.7493,812.97,30.44,-0.866025404,0.5,62.16
2019/6/9 11:00,961.2612,1006.3,31.16,-0.965925826,0.258819045,53.15
2019/6/9 12:00,987.3752,1011.41,32.49,-1,5.63E-15,47.92
2019/6/9 13:00,939.9891,910.31,32.5,-0.965925826,-0.258819045,47.34
2019/6/9 14:00,826.4731,930.36,33.61,-0.866025404,-0.5,45
2019/6/9 15:00,682.7624,715.07,33.32,-0.707106781,-0.707106781,43.46
